item_name_original,item_name_english,category_standardized
孜然醬雞排,,Breakfast & Brunch
熱狗(四條),,Breakfast & Brunch
日式燻雞,,Breakfast & Brunch
起司奶油,,Breakfast & Brunch
孜然醬豬排,,Breakfast & Brunch
玉米濃湯,,Breakfast & Brunch
鮪魚洋蔥,,Breakfast & Brunch
薯餅(四片),,Breakfast & Brunch
燻雞起司,,Other
鍋貼,,Other
果醬系列,,Other
雞塊,,Other
號餐-清爽鳳梨,,Other
蘿蔔糕,,Other
號餐-泡菜豬排蛋堡,,Other
號餐-營養南瓜,,Other
脆薯,,Other
號餐-花醬牛肉培根起司蛋堡,,Other
號餐-韓式泡菜,,Other
號餐-雙層澳洲牛肉起司蛋堡,,Other
號餐-蜜香地瓜,,Other
多穀豆漿,,Beverages (Non-Alcoholic)
阿薩姆奶茶,,Beverages (Non-Alcoholic)
研磨豆漿,,Beverages (Non-Alcoholic)
紅茶拿鐵,,Beverages (Non-Alcoholic)
紅茶豆漿,,Beverages (Non-Alcoholic)
多穀紅茶,,Beverages (Non-Alcoholic)
茉香奶綠,,Beverages (Non-Alcoholic)
東方拿鐵,,Beverages (Non-Alcoholic)
多穀紅茶豆漿,,Beverages (Non-Alcoholic)
胚芽豆漿,,Beverages (Non-Alcoholic)
高山青奶,,Beverages (Non-Alcoholic)
烏龍拿鐵,,Beverages (Non-Alcoholic)
多穀奶茶,,Beverages (Non-Alcoholic)
抹茶豆漿,,Beverages (Non-Alcoholic)
胚芽奶茶,,Beverages (Non-Alcoholic)
阿里山拿鐵,,Beverages (Non-Alcoholic)
多穀綠奶,,Beverages (Non-Alcoholic)
茶珠奶,,Beverages (Non-Alcoholic)
玄米拿鐵,,Beverages (Non-Alcoholic)
茶珠綠奶,,Beverages (Non-Alcoholic)
茶珠奶茶,,Beverages (Non-Alcoholic)
特調咖啡,,Other
東方美人,,Other
阿薩姆紅茶,,Other
黃金烏龍,,Other
義式咖啡,,Other
茉香綠茶,,Other
豆奶拿鐵,,Other
阿里山,,Other
高山青茶,,Other
拿鐵咖啡,,Other
玄米玉露,,Other
玉米蛋,,Breakfast & Brunch
煎蛋吐司,,Breakfast & Brunch
炒麵,,Breakfast & Brunch
原味,,Breakfast & Brunch
肉鬆蛋,,Breakfast & Brunch
玉米蛋,,Breakfast & Brunch
肉鬆,,Breakfast & Brunch
美式湯麵,,Breakfast & Brunch
豬肉蛋,,Breakfast & Brunch
肉鬆蛋,,Breakfast & Brunch
玉米,,Breakfast & Brunch
烤肉炒麵,,Breakfast & Brunch
烤肉蛋,,Breakfast & Brunch
起司蛋,,Breakfast & Brunch
起司,,Breakfast & Brunch
香雞炒麵,,Breakfast & Brunch
香雞蛋,,Breakfast & Brunch
火腿蛋,,Breakfast & Brunch
萵苣,,Breakfast & Brunch
培根炒麵,,Breakfast & Brunch
牛肉蛋,,Breakfast & Brunch
培根蛋,,Breakfast & Brunch
洋蔥,,Breakfast & Brunch
火腿炒麵,,Breakfast & Brunch
總匯蛋,,Breakfast & Brunch
鮪魚蛋,,Breakfast & Brunch
火腿,,Breakfast & Brunch
燻雞炒麵,,Breakfast & Brunch
日式雞排蛋,,Breakfast & Brunch
烤肉蛋,,Breakfast & Brunch
培根,,Breakfast & Brunch
雞排炒麵,,Breakfast & Brunch
日式豬排蛋,,Breakfast & Brunch
香雞蛋,,Breakfast & Brunch
鮪魚,,Breakfast & Brunch
燻腸炒麵,,Breakfast & Brunch
日式花枝排蛋,,Breakfast & Brunch
總匯蛋,,Breakfast & Brunch
雞腿,,Breakfast & Brunch
熱狗,,Breakfast & Brunch
日式蝦排蛋,,Breakfast & Brunch
雞腿蛋(辣/原),,Breakfast & Brunch
烤肉,,Breakfast & Brunch
佛蒙特嫩雞,,Breakfast & Brunch
雞腿蛋(辣/原),,Breakfast & Brunch
佛蒙特嫩雞,,Breakfast & Brunch
泡菜,,Breakfast & Brunch
泡菜烤肉,,Breakfast & Brunch
佛蒙特嫩雞,,Breakfast & Brunch
爆餡拔絲特酥蛋餅,,Breakfast & Brunch
BBQ雞肉炒麵,,Breakfast & Brunch
厚牛堡(OZ),,Other
草莓起酥,,Other
洋芋蔬食,,Breakfast & Brunch
馬鈴薯吐司,,Breakfast & Brunch
日式培根,,Breakfast & Brunch
香雞番茄,,Breakfast & Brunch
苜蓿芽玉米,,Breakfast & Brunch
南瓜/地瓜吐司,,Breakfast & Brunch
深海鮪魚,,Breakfast & Brunch
黃金烤肉,,Breakfast & Brunch
蕃茄萵苣,,Breakfast & Brunch
全麥萵苣鮪魚,,Breakfast & Brunch
香酥肉鬆,,Breakfast & Brunch
日式雞排,,Breakfast & Brunch
萵苣烤肉,,Breakfast & Brunch
全麥苜蓿芽火腿,,Breakfast & Brunch
黃金烤肉,,Breakfast & Brunch
海味花枝,,Breakfast & Brunch
全麥蔬菜沙拉,,Breakfast & Brunch
果醬法國吐司,,Breakfast & Brunch
鮮味蝦排,,Breakfast & Brunch
田園蔬菜捲,,Breakfast & Brunch
白吐司,,Breakfast & Brunch
美式雞腿,,Breakfast & Brunch
南瓜蔬菜捲,,Breakfast & Brunch
火腿起司,,Breakfast & Brunch
佛蒙特嫩雞,,Breakfast & Brunch
地瓜蔬菜捲,,Breakfast & Brunch
蕃茄豬肉,,Other
輕食什錦蔬菜,,Other
苜蓿芽起司,,Other
日式蔬食沙拉,,Other
陽光香雞,,Breakfast & Brunch
日式咖哩,,Breakfast & Brunch
奶油起司,,Snacks & Small Bites
萵苣烤肉,,Snacks & Small Bites
冰州魚排,,Snacks & Small Bites
荷包蛋,,Snacks & Small Bites
香蒜,,Snacks & Small Bites
日式燻雞,,Snacks & Small Bites
孜然醬雞排,,Snacks & Small Bites
鮪魚洋蔥,,Snacks & Small Bites
熱狗(4條),,Snacks & Small Bites
孜然醬豬排,,Snacks & Small Bites
燻雞起司,,Snacks & Small Bites
玉米濃湯,,Snacks & Small Bites
果醬系列,,Set Meals & Combos
薯餅(四片),,Set Meals & Combos
鍋貼(五個),,Set Meals & Combos
號餐-清爽鳳梨,,Set Meals & Combos
號餐-泡菜豬排蛋堡,,Set Meals & Combos
雞塊(四塊),,Set Meals & Combos
號餐-營養南瓜,,Set Meals & Combos
號餐-花醬牛肉培根蛋堡,,Set Meals & Combos
蘿蔔糕,,Set Meals & Combos
號餐-雙層牛肉起司蛋堡,,Set Meals & Combos
號餐-韓式泡菜,,Set Meals & Combos
脆薯,,Set Meals & Combos
號餐-蜜香地瓜,,Set Meals & Combos
多穀豆漿,,Beverages (Non-Alcoholic)
紅茶拿鐵,,Beverages (Non-Alcoholic)
阿薩姆奶茶,,Beverages (Non-Alcoholic)
研磨豆漿,,Beverages (Non-Alcoholic)
多穀紅茶,,Beverages (Non-Alcoholic)
紅茶豆漿,,Beverages (Non-Alcoholic)
茉香奶綠,,Beverages (Non-Alcoholic)
東方拿鐵,,Beverages (Non-Alcoholic)
胚芽豆漿,,Beverages (Non-Alcoholic)
多穀紅茶豆漿,,Beverages (Non-Alcoholic)
烏龍拿鐵,,Beverages (Non-Alcoholic)
高山青奶,,Beverages (Non-Alcoholic)
阿里山拿鐵,,Beverages (Non-Alcoholic)
多穀奶茶,,Beverages (Non-Alcoholic)
抹茶豆漿,,Beverages (Non-Alcoholic)
胚芽奶茶,,Beverages (Non-Alcoholic)
玄米拿鐵,,Beverages (Non-Alcoholic)
多穀綠奶,,Beverages (Non-Alcoholic)
茶珠奶,,Beverages (Non-Alcoholic)
茶珠綠奶,,Beverages (Non-Alcoholic)
茶珠奶茶,,Beverages (Non-Alcoholic)
阿薩姆紅茶,,Beverages (Non-Alcoholic)
特調咖啡,,Beverages (Non-Alcoholic)
東方美人,,Beverages (Non-Alcoholic)
茉香綠茶,,Beverages (Non-Alcoholic)
義式咖啡,,Beverages (Non-Alcoholic)
黃金烏龍,,Beverages (Non-Alcoholic)
高山青茶,,Beverages (Non-Alcoholic)
豆奶拿鐵,,Beverages (Non-Alcoholic)
阿里山,,Beverages (Non-Alcoholic)
拿鐵咖啡,,Beverages (Non-Alcoholic)
玄米玉露,,Beverages (Non-Alcoholic)
紫菜湯,,Set Meals & Combos
魯肉飯,,Set Meals & Combos
味噌湯,,Set Meals & Combos
肉羹湯,,Set Meals & Combos
肉羹飯,,Set Meals & Combos
肉羹麵,,Set Meals & Combos
菜飯,,Set Meals & Combos
肉羹米粉,,Set Meals & Combos
排骨飯,,Set Meals & Combos
蝦卷飯,,Snacks & Small Bites
蛋 滷,,Snacks & Small Bites
焢肉飯,,Snacks & Small Bites
絲 筍,,Snacks & Small Bites
魚排飯,,Snacks & Small Bites
白菜魯,,Snacks & Small Bites
紅糟肉飯,,Snacks & Small Bites
小菜,,Snacks & Small Bites
雞腿飯,,Snacks & Small Bites
油豆腐 油,,Snacks & Small Bites
蝦 卷,,Pasta / Noodles / Rice
咖哩飯(小),,Pasta / Noodles / Rice
排骨,,Pasta / Noodles / Rice
焢 肉,,Pasta / Noodles / Rice
咖哩菜飯,,Pasta / Noodles / Rice
紅糟肉,,Pasta / Noodles / Rice
咖哩排骨飯,,Pasta / Noodles / Rice
雞 腿,,Pasta / Noodles / Rice
咖哩雞腿飯,,Pasta / Noodles / Rice
魯肉飯(大),,Pasta / Noodles / Rice
咖哩飯(大),,Pasta / Noodles / Rice
特選錫蘭紅茶,,Other
阿薩姆紅茶,,Other
香檸柚茶,,Other
鐵觀音,,Other
伯爵紅茶,,Other
洋甘菊茶,,Other
特選錫蘭奶茶,,Beverages (Non-Alcoholic)
阿薩姆奶茶,,Beverages (Non-Alcoholic)
鐵觀音奶茶,,Beverages (Non-Alcoholic)
伯爵奶茶,,Beverages (Non-Alcoholic)
日式玄米奶茶,,Beverages (Non-Alcoholic)
阿華田可可,,Beverages (Non-Alcoholic)
OREO 奶茶,,Beverages (Non-Alcoholic)
和風豚丼,,Set Meals & Combos
薑燒香豚,,Set Meals & Combos
豚肉肉堡堡定食,,Set Meals & Combos
雞排+咖哩定食,,Set Meals & Combos
味噌豚骨拉麵,,Set Meals & Combos
本周特餐,,Set Meals & Combos
紅茶,,Set Meals & Combos
美式咖啡,,Set Meals & Combos
紅糟肉,,Pasta / Noodles / Rice
海鮮麵,,Pasta / Noodles / Rice
炸肥腸,,Pasta / Noodles / Rice
泡菜海鮮麵,,Pasta / Noodles / Rice
炸蝦卷,,Pasta / Noodles / Rice
酸辣湯麵,,Pasta / Noodles / Rice
炸蚵卷,,Pasta / Noodles / Rice
牛肉麵,,Pasta / Noodles / Rice
酥炸豆包,,Pasta / Noodles / Rice
牛肉湯麵,,Pasta / Noodles / Rice
炸豆腐,,Pasta / Noodles / Rice
榨菜肉絲麵,,Pasta / Noodles / Rice
月亮蝦餅,,Pasta / Noodles / Rice
臭豆腐炸醬麵,,Pasta / Noodles / Rice
餛飩麵,,Pasta / Noodles / Rice
肉燥飯(小),,Pasta / Noodles / Rice
陽春乾麵,,Pasta / Noodles / Rice
肉燥飯(大),,Pasta / Noodles / Rice
陽春湯麵,,Pasta / Noodles / Rice
酸辣湯飯,,Pasta / Noodles / Rice
黃乾麵,,Pasta / Noodles / Rice
紅糟肉飯,,Pasta / Noodles / Rice
黃湯麵,,Pasta / Noodles / Rice
臭豆腐炸醬飯,,Pasta / Noodles / Rice
特餐,,Pasta / Noodles / Rice
水餃,,Sides & Accompaniments
大腸,,Sides & Accompaniments
蝦仁水餃,,Sides & Accompaniments
干豆,,Sides & Accompaniments
牛肉湯餃,,Sides & Accompaniments
海帶,,Sides & Accompaniments
酸辣湯餃,,Sides & Accompaniments
蛋魯,,Sides & Accompaniments
油豆腐 油,,Soups
蛤仔湯,,Soups
燙青菜 燙,,Soups
蚵仔湯,,Soups
皮蛋豆腐 皮,,Soups
貢丸湯,,Soups
涼拌海帶結,,Soups
酸辣湯,,Soups
和風洋蔥,,Soups
粉腸湯,,Soups
韓式泡菜,,Soups
餛飩湯,,Soups
煙燻豬頭皮,,Soups
海菜魚丸湯,,Soups
粉腸,,Soups
牛肉湯,,Soups
蒜泥白肉,,Soups
鯊魚煙,,Soups
銷魂鍋貼,Pork fried dumplings,Pasta / Noodles / Rice
瀟灑湯,Beef soup,Pasta / Noodles / Rice
天涯牛肉麵,Super beef noodles,Pasta / Noodles / Rice
宮廷鍋貼,Korea style dumplings,Pasta / Noodles / Rice
瀟灑牛肉麵,Beef noodles,Pasta / Noodles / Rice
滄海湯,Wonton soup,Pasta / Noodles / Rice
逍遙蒸餃,Pork dumplings,Pasta / Noodles / Rice
滄海混沌麵,Wonton rioodles,Pasta / Noodles / Rice
歲月湯,Hot & Sour soup,Pasta / Noodles / Rice
紅塵抄手,Spicy pork wonton,Pasta / Noodles / Rice
翡翠蒸餃,Pork&Leek dumplings,Pasta / Noodles / Rice
相思湯,Corn cream soup,Pasta / Noodles / Rice
歲月麵,Hot&Sour noodle,Pasta / Noodles / Rice
宮廷蒸餃,Korea style dumplings,Pasta / Noodles / Rice
忘情水,Glinter soft drink,Sides & Accompaniments
如法炮製,Taiwan style kimchi,Sides & Accompaniments
翠玉油雞,Oil Chicken,Sides & Accompaniments
干柴烈火,Bean curd strips,Sides & Accompaniments
沉香牛肚,Beef tripe,Sides & Accompaniments
回春豆腐,preserved eggs&Tofu,Sides & Accompaniments
海枯石爛,Seaweed salad,Sides & Accompaniments
飛黃騰達,Cocumber salad,Sides & Accompaniments
沉魚落雁,Fish&rried tofu,Sides & Accompaniments
蘿蔔糕,Radish rice cake-,Set Meals & Combos
燒餅,Roasted cake--,Set Meals & Combos
燒餅油條,Frying pan & Roasted cake,Set Meals & Combos
油條,Frying pan-,Set Meals & Combos
燒餅夾蛋,Egg & Pancake-,Set Meals & Combos
小籠包,Juicyall meat manju-,Set Meals & Combos
燒餅夾蛋餅,Chinese pancake & Roasted cake-,Set Meals & Combos
飯團,Chinese rice ball-,Set Meals & Combos
燒餅油條加蛋,Frying pan & Roasted cake &cgg,Set Meals & Combos
蛋餅,Chinese pancake-,Set Meals & Combos
饅頭加蛋,Egg & Manju--,Set Meals & Combos
蔥花蛋,Green onion fried cgg,Set Meals & Combos
飯團加蛋,Egg & Chinese rice ball,Set Meals & Combos
荷包蛋,Poachcd cgg-,Set Meals & Combos
蛋餅夾油條,Chinese pancake & Frying pan,Set Meals & Combos
饅頭,Manju,Set Meals & Combos
酥餅,Crisp cake-,Set Meals & Combos
肉包,Mcat manju--,Set Meals & Combos
蘆筍百合炒鱈魚球,,Mains
紹興薑蔥大蝦,,Mains
避風塘大蝦,,Mains
星州咖哩蝦煲,,Mains
松香滑蛋蝦球,,Mains
家鄉蝦干小炒皇,,Mains
鵝肝醬桂林蝦丸,,Mains
蔥抓餅,,Other
原味蛋餅,,Other
飯糰,,Other
玉米蛋餅,,Other
蘿蔔糕,,Other
培根蛋餅,,Other
滷肉飯,,Other
火腿蛋餅,,Other
蔥蛋,,Other
熱狗蛋餅,,Other
菜脯蛋,,Other
豬排蛋餅,,Other
熱狗,,Other
肉鬆蛋餅,,Other
味噌湯,,Other
菜脯蛋餅,,Other
煎餃,,Other
油條蛋餅,,Beverages (Non-Alcoholic)
紅茶,,Breakfast & Brunch
吐司加蛋,,Breakfast & Brunch
豆漿,,Breakfast & Brunch
培根吐司,,Breakfast & Brunch
奶茶,,Breakfast & Brunch
火腿吐司,,Breakfast & Brunch
米漿,,Breakfast & Brunch
起司吐司,,Breakfast & Brunch
豆米漿,,Breakfast & Brunch
豬排吐司,,Breakfast & Brunch
檸檬紅茶,,Breakfast & Brunch
草莓吐司,,Breakfast & Brunch
柳橙,,Breakfast & Brunch
花生吐司,,Breakfast & Brunch
水蜜桃,,Breakfast & Brunch
巧克力吐司,,Breakfast & Brunch
百香果,,Breakfast & Brunch
冬瓜茶,,Pasta / Noodles / Rice
鐵板麵,,Pasta / Noodles / Rice
加蛋,,Beverages (Non-Alcoholic)
紅茶,,Beverages (Non-Alcoholic)
加豬排,,Beverages (Non-Alcoholic)
豆漿,,Beverages (Non-Alcoholic)
加蛋+豬排,,Beverages (Non-Alcoholic)
奶茶,,Beverages (Non-Alcoholic)
米漿,,Snacks & Small Bites
荷包蛋,,Snacks & Small Bites
豆米漿,,Snacks & Small Bites
火腿,,Snacks & Small Bites
檸檬紅茶,,Snacks & Small Bites
培根,,Snacks & Small Bites
豬排,,Snacks & Small Bites
OA 特製海鮮沙拉,OA signature Seafood Salad,Beverages (Non-Alcoholic)
美式咖啡,Americano,Beverages (Non-Alcoholic)
法國沛綠雅氣泡礦泉水,Perrier Sparkling Water,Beverages (Non-Alcoholic)
OA 墨魚義大利麵,OA signature Cuttlefish Spaghetti,Beverages (Non-Alcoholic)
卡布奇諾,Cappuccino,Beverages (Non-Alcoholic)
焗烤漁港海鮮筆管麵,Gartin Seafood Penne,Beverages (Non-Alcoholic)
凱撒雞肉沙拉,Caesar Salad with Chicken,Beverages (Non-Alcoholic)
法國依雲礦泉水,Evian Mineral Water,Beverages (Non-Alcoholic)
波隆那肉球花椰菜義大利麵,Meat ball & Cauliflower Spaghetti,Beverages (Non-Alcoholic)
經典拿鐵,Caffe Latte,Beverages (Non-Alcoholic)
蕃茄什錦蔬菜義大利麵,Mixed Vegetables Spaghetti,Other
摩卡,Mocha,Other
OA 墨魚海鮮披薩,OA signature Shimp & Cuttlefish Pizza,Other
可口可樂,Coca Cola,Other
馥列白,Flat White,Other
胡麻混蛋披薩,Preserved Duck Eggs with Sesame Sauce Pizza,Other
七喜汽水,7 Up,Snacks & Small Bites
拿鐵瑪奇朵,Latte Macchiato,Snacks & Small Bites
炸薯條,French Fries,Snacks & Small Bites
泰式打拋豬披薩,Thai Style Pork Meat with Basil Pizza,Snacks & Small Bites
焦糖瑪奇朵,Caramel Macchiato,Snacks & Small Bites
松露薯條,French Fried with Truffle Sauce,Snacks & Small Bites
松露野菇披薩,"Truffle, Mushroom & Cauliflower Pizza",Snacks & Small Bites
經典巧克力,Classic Chocolate,Alcohol & Cocktails
總匯拼盤,"Deep-Fried Platter with Tartar Sauce, Ketchup, Thai Sauce",Alcohol & Cocktails
義式辣味臘腸披薩,Spicy Italian Sausage Pizza,Alcohol & Cocktails
吉姆老爹白鷺紅茶小麥生啤酒,Egret Black Tea Draft Beer,Alcohol & Cocktails
田園蔬菜披薩,Organic Vegetables Pizza,Beverages (Non-Alcoholic)
吉姆老爹盛夏馬賽克生啤酒,Mosaic Pale Ale Draft,Beverages (Non-Alcoholic)
紅心芭樂紅茶,Guava Black Tea,Beverages (Non-Alcoholic)
瑪格麗特披薩,"Margherita Pizza, Japanese Style",Beverages (Non-Alcoholic)
麥田小麥生啤酒,Draft Barley Beer,Beverages (Non-Alcoholic)
蕎麥烏龍茶,Buckwheat Oolong Tea,Beverages (Non-Alcoholic)
麥田黑麥生啤酒,Draft Rye Beer,Beverages (Non-Alcoholic)
蜂蜜檸檬汁,Honey Lemonade,Beverages (Non-Alcoholic)
秘傳西魯肉,,Other
西魯肉加飯,,Other
西魯肉加麵,,Other
台式炒飯,,Mains
糕渣,,Mains
肉,,Mains
台式炒麵,,Mains
干貝芋粿,,Mains
台式炒麵疙瘩,,Mains
古早味芋泥,,Mains
紅油蝦仁抄手,,Mains
特製鮮蝦煎餃,,Mains
糟餅,,Mains
白飯,,Mains
黑棗豬肚排骨甜湯,,Mains
秘醬排骨,,Mains
蒜泥五花肉,,Mains
醬燒花枝,,Mains
炒空心菜,,Mains
蒜泥鮮蚵,,Mains
炒高麗菜,,Mains
黑胡椒鹹豬肉,,Mains
茶樹菇元盅雞湯,,Mains
子苦瓜,,Salads & Cold Dishes
涼拌魚皮,,Salads & Cold Dishes
涼拌海蜇皮,,Salads & Cold Dishes
梅釀番茄,,Salads & Cold Dishes
百香冬瓜,,Salads & Cold Dishes
黃金鴨掌,,Salads & Cold Dishes
蜜汁秋刀魚,,Salads & Cold Dishes
芥末小黃瓜,,Salads & Cold Dishes
和風過貓,,Salads & Cold Dishes
紹興醉雞,,Salads & Cold Dishes
松辣白菜,,Salads & Cold Dishes
五味小章魚,,Salads & Cold Dishes
廣東高麗,,Salads & Cold Dishes
蔗燻鴨賞,,Salads & Cold Dishes
冷筍沙拉,,Salads & Cold Dishes
冰洛神酸梅汁,,Beverages (Non-Alcoholic)
冷泡金萱烏龍茶,,Beverages (Non-Alcoholic)
特選仙草茶,,Beverages (Non-Alcoholic)
甜不辣,,Snacks & Small Bites
脆皮雞排,,Snacks & Small Bites
四季豆,,Snacks & Small Bites
脆薯條,,Snacks & Small Bites
玉米筍,,Snacks & Small Bites
香酥雞排,,Snacks & Small Bites
地瓜條,,Snacks & Small Bites
花椰菜,,Snacks & Small Bites
鹽酥雞,,Snacks & Small Bites
小黃瓜,,Snacks & Small Bites
魷魚酥,,Snacks & Small Bites
雞蛋豆腐,,Snacks & Small Bites
唐揚雞塊,,Snacks & Small Bites
糯米椒,,Snacks & Small Bites
百頁豆腐,,Snacks & Small Bites
雞軟骨,,Snacks & Small Bites
青椒,,Snacks & Small Bites
炸湯圓,,Snacks & Small Bites
雞皮,,Snacks & Small Bites
洋蔥,,Snacks & Small Bites
QQ球,,Snacks & Small Bites
杏鮑菇,,Snacks & Small Bites
雞胗(一串),,Snacks & Small Bites
米血,,Snacks & Small Bites
雞心 (一串),,Snacks & Small Bites
豆干,,Snacks & Small Bites
雞屁股(一串),,Beverages (Non-Alcoholic)
蘿蔔糕,,Beverages (Non-Alcoholic)
麥克雞塊,,Beverages (Non-Alcoholic)
油切綠茶,,Beverages (Non-Alcoholic)
手工米腸,,Beverages (Non-Alcoholic)
桂花烏龍,,Beverages (Non-Alcoholic)
日式天婦羅,,Beverages (Non-Alcoholic)
銀絲卷,,Beverages (Non-Alcoholic)
花枝丸,,Beverages (Non-Alcoholic)
金杯紅茶,,Beverages (Non-Alcoholic)
桂花綠茶,,Beverages (Non-Alcoholic)
柳葉魚,,Beverages (Non-Alcoholic)
鑫鑫腸,,Beverages (Non-Alcoholic)
芋粿,,Beverages (Non-Alcoholic)
藏 草莓牛奶,,Desserts & Sweets
芒果牛奶,,Desserts & Sweets
大豆冰,,Desserts & Sweets
烏梅冰,,Desserts & Sweets
冬瓜茶,,Desserts & Sweets
仙草 冬瓜茶 粉料:,,Desserts & Sweets
檸檬冬瓜茶,,Desserts & Sweets
鳳梨綿綿冰,,Desserts & Sweets
酸梅綿綿冰,,Desserts & Sweets
桑葚綿綿冰,,Desserts & Sweets
百香果綿綿冰,,Desserts & Sweets
清 冰,,Desserts & Sweets
雞屁股,,Other
香雞排,,Other
雞心,,Other
鹽酥雞,,Other
蘿蔔糕,,Other
魷魚圈,,Other
魚板,,Other
柳葉魚,,Other
杏鮑菇,,Other
甜不辣,,Other
四季豆,,Other
馬鈴薯條,,Other
玉米筍,,Other
甘梅地瓜,,Other
青椒,,Other
麥克雞塊,,Other
米腸,,Other
百頁豆腐,,Other
芋頭籤,,Other
米血糕,,Other
可樂,,Other
花枝丸,,Other
雪碧,,Other
豆干,,Other
①號套餐,,Set Meals & Combos
②號套餐,,Set Meals & Combos
③號套餐,,Set Meals & Combos
炒米粉,,Other
貢丸米粉湯,,Other
貢丸湯,,Other
現烤貢丸一份,,Other
義式濃縮咖啡,,Other
美式咖啡,,Other
拿鐵咖啡,,Other
卡布奇諾咖啡,,Other
果醋,,Other
三杯中卷,,Mains
脆皮豆腐,,Mains
金沙豆腐,,Mains
彩椒中卷,,Mains
蘇杭中卷,,Mains
紅燒豆腐,,Mains
麻婆豆腐,,Mains
金沙中卷,,Mains
椒鹽中卷,,Mains
鹹蛋苦瓜,,Mains
宮保皮蛋,,Mains
XO醬爆中卷,,Mains
青椒皮蛋,,Mains
避風塘中卷,,Mains
四季皮蛋,,Mains
金沙四季中卷,,Mains
雲南椒麻皮蛋,,Mains
塔香海瓜子,,Mains
金沙杏鮑菇,,Mains
九層塔蛤蜊,,Mains
椒鹽杏鮑菇,,Mains
XO醬海瓜子,,Mains
三杯杏鮑菇,,Mains
XO醬炒蛤蜊,,Mains
塔香蚵仔酥,,Mains
油條鮮蚵仔,,Mains
客家筍干,,Mains
四季肥腸,,Mains
炒毛肚,,Other
糖醋魚片,,Other
炒牛肝,,Other
府城蝦捲,,Other
炒牛心,,Other
腰果雞丁,,Other
蒜炒山豬肉,,Other
嫩薑牛肉,,Soups
蔥爆牛肉,,Soups
酥炸山藥捲,,Soups
青菜牛肉,,Soups
滑蛋腰果蝦仁,,Soups
牛肉清湯,,Soups
苦瓜牛肉,,Soups
鹿肉,,Soups
牛雜湯,,Soups
洋蔥牛肉,,Soups
溪蝦,,Soups
牛心湯,,Soups
韭黃牛肉,,Soups
溪哥,,Soups
牛肝湯,,Soups
三杯鴕鳥肉,,Soups
青椒牛肉,,Soups
羊肉湯,,Soups
鳳梨蝦球,,Soups
黑胡椒牛肉,,Soups
苦瓜羊肉,,Soups
烏骨雞湯,,Soups
青蒜炒牛雜,,Soups
青菜羊肉,,Soups
蛋煎腦髓,,Soups
香菇丸子湯,,Soups
蔥爆羊肉,,Soups
滷牛腱,,Soups
腦髓湯,,Soups
薑絲羊肉,,Soups
滷蜂巢肚,,Soups
心肝寶貝湯,,Soups
炒牛仙果,,Soups
白切牛鞭,,Soups
招牌套餐,,Mains
鐵板牛肉,,Mains
鐵板豆腐,,Mains
鐵板杏鮑菇,,Mains
蔥蛋,,Mains
鐵板鴕鳥肉,,Mains
菜脯蛋,,Mains
九層塔蛋,,Mains
洋蔥炒蛋,,Mains
蕃茄炒蛋,,Mains
苦瓜鹹蛋,,Pasta / Noodles / Rice
招牌牛雜鍋,,Pasta / Noodles / Rice
季節菜,,Pasta / Noodles / Rice
牛肉清湯鍋,,Pasta / Noodles / Rice
麻油川七,,Pasta / Noodles / Rice
白飯,,Pasta / Noodles / Rice
羊肉清湯鍋,,Pasta / Noodles / Rice
炒(涼拌過貓,,Pasta / Noodles / Rice
人蔘烏骨雞鍋,,Pasta / Noodles / Rice
滷肉飯,,Pasta / Noodles / Rice
蒜泥白肉,,Pasta / Noodles / Rice
牛鞭烏骨雞鍋,,Pasta / Noodles / Rice
牛/羊/豬/蝦炒麵,,Pasta / Noodles / Rice
蒜炒三層肉,,Pasta / Noodles / Rice
牛/羊/豬/蝦炒飯,,Pasta / Noodles / Rice
蔥爆豬肉絲,,Pasta / Noodles / Rice
牛鞭烏骨雞特製爐,,Pasta / Noodles / Rice
客家小炒,,Pasta / Noodles / Rice
牛/羊/豬/蝦燴飯,,Pasta / Noodles / Rice
溫體新鮮牛肉片,,Pasta / Noodles / Rice
薑絲大腸,,Pasta / Noodles / Rice
牛/羊/豬/蝦湯麵,,Pasta / Noodles / Rice
青蒜炒鹹豬肉,,Pasta / Noodles / Rice
牛雜湯麵,,Pasta / Noodles / Rice
綜合生魚片(小),,Soups
味噌鮮魚湯,,Soups
蔥爆牛肉,,Soups
薑絲鮮魚湯,,Soups
宮保皮蛋,,Soups
鮭魚生魚片(小),,Soups
蒜炒鯊魚,,Soups
塔香蛤蜊湯,,Soups
薑絲骨髓鮮蚵湯,,Soups
薑醋鱈魚肚,,Soups
芥末皮蛋沙拉,,Soups
冬菜鮮蚵高麗湯,,Soups
客家小炒,,Soups
蛤蜊鮮蚵湯,,Soups
蘆筍沙拉,,Soups
薑絲大腸,,Soups
和風玉米筍,,Soups
炒花枝膘,,Soups
海菜吻魚羹,,Soups
五味鮑魚片,,Soups
麻辣炒雪螺,,Soups
五味花枝,,Sides & Accompaniments
海瓜子,,Sides & Accompaniments
豆醬無刺虱目魚,,Sides & Accompaniments
芹菜花枝,,Sides & Accompaniments
季節時蔬,,Sides & Accompaniments
豆酥時蔬,,Sides & Accompaniments
三杯中卷,,Sides & Accompaniments
蜜汁泡風螺,,Sides & Accompaniments
沙茶炒魷魚,,Sides & Accompaniments
